Business_ID,Name,Address,Coordinates,Number_of_Reviews,Rating,Zip_Code,Cuisine
nXh79laNQ7leN92F5Ore-Q,Forever Taste,27 Rutgers St,{40.71294:-73.98979},37,4.0,10002,chinese
5FbVGhTO8U4wh0AATsN9tA,Wan's Garden,6826 Forest Ave,{40.702864:-73.901421},25,4.0,11385,chinese
poRWXhCG1-mVxs1kuw_ZEg,Red Hot Szechuan,349 7th Ave,{40.666088:-73.98191},176,3.0,11215,chinese
Jy7htqnnxlKB2vZO42_-aw,Ding Asian Szechuan Hot Pot Restaurant,234 W 48th St,{40.76064:-73.98635},175,3.5,10036,chinese
YvMLbSK_tWmaOjYGwOUd5Q,Xi’an Famous Foods,8 Liberty Pl,{40.709193:-74.009347},90,4.0,10038,chinese
KavW0SjAiElP2ajaexNQDQ,WK Restaurant,69 Bayard St,{40.7155:-73.99836},70,4.0,10013,chinese
gJXNSJ9VXTuCFmp_Kl9TVQ,Shanghai,1388 2nd Ave,{40.768291:-73.958381},89,4.0,10021,chinese
2rSmA4IK51QAQj60YGvjnw,New Asian Cuisine,44-20 48th Ave,{40.7393524:-73.9210213},24,4.0,11377,chinese
9v-JAffC6qw8Xp67BICByQ,Hot Kitchen Skewer Hotpot & BBQ,104 2nd Ave,{40.72741:-73.98816},427,3.5,10003,chinese
30pqvzHrCNmnodJCRyzrTg,Snacky,187 Grand St,{40.71439:-73.9607},185,4.0,11211,chinese
